Curve,b0,b0.se,A,A.se,umax,umax.se,L,L.se,RSME,CV,outlier
D3,0.144,0.00356,0.1226,0.00378,0.0364,0.00349,2.37,0.23525,0.0101,4.07,0
D4,0.1428,0.00287,0.1176,0.00306,0.0427,0.00418,3.0031,0.19722,0.0093,3.842,0
D5,0.1414,0.00273,0.1188,0.00292,0.0477,0.0048,3.1815,0.183,0.0091,3.773,0
D6,0.1397,0.00293,0.1234,0.00315,0.0397,0.0038,2.7008,0.20298,0.009,3.682,0
D7,0.1385,0.00348,0.1251,0.00378,0.0377,0.00461,2.7845,0.2618,0.0108,4.443,0
D8,0.1371,0.0036,0.1294,0.00398,0.028,0.00286,2.4262,0.30765,0.0101,4.137,0
D9,0.1418,0.00337,0.1235,0.00358,0.0548,0.00658,3.1896,0.20808,0.0112,4.528,0
D10,0.1396,0.00481,0.1307,0.00518,0.0292,0.00326,2.1796,0.34801,0.013,5.22,0
E3,0.136,0.00527,0.1366,0.00575,0.0281,0.00339,2.1637,0.39885,0.014,5.613,0
E4,0.1398,0.0031,0.1247,0.00335,0.037,0.00387,2.7825,0.22994,0.0096,3.943,0
E5,0.144,0.00274,0.1212,0.0029,0.0528,0.00466,2.9494,0.15559,0.0089,3.608,0
E6,0.1441,0.00259,0.1192,0.00274,0.053,0.00462,3.0468,0.15395,0.0085,3.454,0
E7,0.1406,0.00273,0.1213,0.00292,0.0431,0.00388,2.9149,0.18274,0.0087,3.588,0
E8,0.1534,0.00256,0.1162,0.00272,0.0453,0.00397,2.8084,0.16143,0.0082,3.232,0
E9,0.1477,0.00338,0.1211,0.00357,0.0392,0.00362,2.3301,0.22297,0.0092,3.659,0
E10,0.1368,0.0043,0.1326,0.00474,0.0279,0.00313,2.3593,0.35269,0.0119,4.833,0
F3,0.1412,0.00339,0.1313,0.0036,0.0543,0.00581,3.034,0.18852,0.0112,4.438,0
F4,0.1414,0.00302,0.1249,0.00326,0.0348,0.00317,2.6601,0.22443,0.0091,3.686,0
F5,0.1394,0.00296,0.127,0.00322,0.0327,0.00293,2.5707,0.22979,0.0087,3.542,0
F6,0.1422,0.00254,0.1213,0.00273,0.0374,0.00312,2.7952,0.1857,0.0079,3.223,0
F7,0.1426,0.0024,0.1201,0.00255,0.05,0.00421,3.1238,0.15566,0.0078,3.215,0
F8,0.1417,0.00307,0.1273,0.00338,0.0306,0.00297,2.467,0.26208,0.0086,3.454,0
F9,0.1423,0.0027,0.1224,0.00289,0.043,0.0039,2.9244,0.18059,0.0087,3.534,1
F10,0.1386,0.00457,0.1356,0.00503,0.0244,0.00233,1.9903,0.37432,0.0113,4.503,0
